gender05,age05,education05,hisp05,race05,income05,party05,marital05,Q9_05,Q10,Q5_05,Q7_05,Q6_05,gender13,age13,educaton13,hisp13,race13,income13,Q1_13,Q2_13,Q3_13,Q4_13,Q5_13,Q6_13,Q7_13,Q8_13,gender15,age15,education15,hisp15,race15,income15,party15,marital15,Q1_15,Q2_15,Q3_15,Q4_15,Q5_15,Q6_15,Q7_15,Q8_15
FEMALE,76,7,2,1,9,2,5,1,1,8,2,1,MALE,99,99,2,1,99,2, ,1,2,9,8,8,8,FEMALE,72,4,2,1,4,1,6, , ,2,2,2,1,8,1
MALE,47,7,2,1,8,1,1,2, ,2,2,2,FEMALE,32,3,2,3,1,2, ,2,2,8,8,2,2,FEMALE,36,5,2,1,7,1,1,2, ,1,1,1,1,1,2
FEMALE,20,3,1,9,9,3,6,2, ,2,1,2,MALE,57,5,2,1,99,1, ,1,2,1,2,2,2,FEMALE,72,3,9,9,99,2,9, , ,2,2,2,2,8,1
MALE,40,7,2,4,8,3,1,1,2,2,2,1,FEMALE,20,6,1,9,99,2, ,1,2,2,2,1,1,MALE,68,5,2,1,5,3,1, , ,2,2,2,2,1,8
FEMALE,35,3,1,1,6,2,1,1,2,2,1,2,FEMALE,70,5,9,9,99,2, ,2,2,2,2,9,8,MALE,77,2,2,1,4,1,1,2, ,2,2,1,1,2,1
FEMALE,30,7,2,1,6,2,1,1,2,1,2,1,MALE,48,3,2,2,4,2, ,2,2,2,2,1,2,FEMALE,82,8,2,1,7,2,5,2,2,2,2,2,2,1,8
FEMALE,56,3,1,1,1,2,1,1,2, , , ,FEMALE,96,4,2,1,2, , ,2,2,1,8,1,1,FEMALE,73,3,2,1,7,3,3,2, ,2,2,2,2,1,2
MALE,31,2,1,4,3,3,6,2, ,1,1,2,FEMALE,36,5,2,1,6,2, ,1,1,1,1,2,2,MALE,60,3,2,1,6,1,1, , ,2,2,2,2,1,1
MALE,83,7,2,1,9,1,1,2, ,2,2,2,FEMALE,74,6,2,1,7,2, ,1,2,2,2,1,2,FEMALE,60,5,2,1,3,3,1,2, ,2,2,2,2,2,2
FEMALE,43,6,2,1,6,1,1,1,1,2,2,2,MALE,51,6,2,1,99,2, ,2,2,2,2,2,2,FEMALE,80,6,2,1,98,1,5,2, ,2,2,2,2,1,2
